customer_id,satisfaction_score,survey_date,tier,points
C084,1.0,2023-12-01,,
C054,6.0,2023-12-02,Gold,9619.0
C071,9.0,2023-12-03,Silver,5345.0
C046,7.0,2023-12-04,Bronze,4676.0
C045,6.0,2023-12-05,Silver,8424.0
C040,3.0,2023-12-06,,
C023,3.0,2023-12-07,,
C081,2.0,2023-12-08,,
C011,7.0,2023-12-09,,
C001,5.0,2023-12-10,Bronze,7953.0
C019,5.0,2023-12-11,,
C031,4.0,2023-12-12,Silver,7595.0
C074,10.0,2023-12-13,,
C034,10.0,2023-12-14,Silver,9705.0
C091,2.0,2023-12-15,Silver,1656.0
C005,1.0,2023-12-16,Platinum,6221.0
C077,3.0,2023-12-17,Gold,6654.0
C078,4.0,2023-12-18,Platinum,8949.0
C013,2.0,2023-12-19,Bronze,6719.0
C032,3.0,2023-12-20,Platinum,4974.0
C056,8.0,2023-12-21,,
C089,5.0,2023-12-22,Gold,8788.0
C027,5.0,2023-12-23,Gold,5484.0
C043,3.0,2023-12-24,Gold,1673.0
C070,4.0,2023-12-25,Platinum,8376.0
C016,6.0,2023-12-26,,
C041,4.0,2023-12-27,,
C097,6.0,2023-12-28,,
C010,5.0,2023-12-29,Gold,7858.0
C073,10.0,2023-12-30,Silver,1234.0
C012,4.0,2023-12-31,Gold,5260.0
C048,5.0,2024-01-01,,
C086,6.0,2024-01-02,Bronze,8800.0
C029,1.0,2024-01-03,Gold,2806.0
C094,9.0,2024-01-04,,
C006,6.0,2024-01-05,Silver,7783.0
C067,9.0,2024-01-06,,
C066,1.0,2024-01-07,Silver,8451.0
C036,5.0,2024-01-08,Gold,6378.0
C017,2.0,2024-01-09,Gold,416.0
C050,8.0,2024-01-10,,
C035,9.0,2024-01-11,,
C008,4.0,2024-01-12,,
C096,9.0,2024-01-13,Platinum,788.0
C028,10.0,2024-01-14,,
C020,6.0,2024-01-15,Platinum,1671.0
C082,4.0,2024-01-16,Bronze,3388.0
C026,8.0,2024-01-17,,
C063,6.0,2024-01-18,Silver,3853.0
C014,10.0,2024-01-19,,
C009,,,Silver,5048.0
C083,,,Silver,3697.0
C064,,,Gold,7659.0
C051,,,Platinum,4981.0
C024,,,Gold,1721.0
C061,,,Bronze,261.0
C025,,,Platinum,1501.0
C039,,,Silver,3849.0
C057,,,Silver,5299.0
C076,,,Gold,9125.0
C030,,,Gold,3775.0
C092,,,Bronze,8563.0
C042,,,Silver,8931.0
C022,,,Platinum,2810.0
C085,,,Gold,3130.0
C088,,,Silver,1798.0
C098,,,Silver,742.0
C021,,,Gold,4626.0
C090,,,Gold,9402.0
C038,,,Platinum,9909.0
C060,,,Gold,8844.0
C002,,,Silver,567.0
C075,,,Silver,2015.0
C080,,,Bronze,7856.0
C015,,,Gold,6210.0
C055,,,Silver,2674.0
C052,,,Gold,1308.0
C007,,,Silver,991.0
C099,,,Platinum,2897.0
C044,,,Silver,9826.0
